provider,case,wire_bytes,decoded_bytes,content_encoding,http_seconds,status_code,raw_json_bytes,normalized_bytes,agent_body_bytes,original_items,returned_items,truth_expected,truth_retained,truth_retention_ratio,contract_valid,contract_reason,transform_seconds_median,transform_peak_bytes,cycle,observed_at
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.03579971002181992,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0015399160038214177,57889,15,2026-08-02T11:38:54+00:00
prometheus,baseline,1502,53178,gzip,0.012099542014766484,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004312749981181696,175505,15,2026-08-02T11:38:54+00:00
loki,baseline,975,7044,gzip,0.017027791996952146,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0031048750097397715,15951,15,2026-08-02T11:38:54+00:00
tempo,baseline,721,721,identity,0.01375691598514095,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.00029329099925234914,5538,15,2026-08-02T11:38:54+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.03368699792190455,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0015524580085184425,57889,16,2026-08-02T11:39:24+00:00
prometheus,baseline,1502,53178,gzip,0.012520041986135766,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.0042026659939438105,175505,16,2026-08-02T11:39:24+00:00
loki,baseline,977,7044,gzip,0.01732004201039672,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.002915124990977347,16589,16,2026-08-02T11:39:24+00:00
tempo,baseline,721,721,identity,0.018272749992320314,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003050000232178718,5538,16,2026-08-02T11:39:24+00:00
kubernetes,baseline,42976,42976,kubernetes-api-14-requests,0.034432665939675644,200,43271,19616,19746,20,22,2,2,1.0,True,accepted,0.0015287919959519058,57889,17,2026-08-02T11:39:54+00:00
prometheus,baseline,1502,53178,gzip,0.01224699997692369,200,53178,55955,56085,250,250,1,1,1.0,True,accepted,0.004325042013078928,175505,17,2026-08-02T11:39:54+00:00
loki,baseline,976,7044,gzip,0.016177458019228652,200,7043,14161,14279,20,20,4,4,1.0,True,accepted,0.0034679590025916696,15951,17,2026-08-02T11:39:54+00:00
tempo,baseline,721,721,identity,0.018392875004792586,200,721,1616,1736,1,1,1,1,1.0,True,accepted,0.0003025420010089874,5538,17,2026-08-02T11:39:54+00:00
