provider,case,wire_bytes,decoded_bytes,content_encoding,http_seconds,status_code,raw_json_bytes,normalized_bytes,agent_body_bytes,original_items,returned_items,truth_expected,truth_retained,truth_retention_ratio,contract_valid,contract_reason,transform_seconds_median,transform_peak_bytes,cycle,observed_at
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07474983300198801,2012576,25,2026-08-02T12:14:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.020038832997670397,728747,26,2026-08-02T12:14:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011780500004533678,1025999,26,2026-08-02T12:14:35+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010903874994255602,46685,26,2026-08-02T12:14:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07570166600635275,2012576,26,2026-08-02T12:14:35+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.020191874995362014,728747,27,2026-08-02T12:15:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011980125011177734,1025999,27,2026-08-02T12:15:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010773957998026162,46732,27,2026-08-02T12:15:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07558820900158025,2012576,27,2026-08-02T12:15:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.0194164999993518,728747,28,2026-08-02T12:15:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011512124998262152,1025999,28,2026-08-02T12:15:35+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010665000008884817,46591,28,2026-08-02T12:15:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07529704199987464,2012576,28,2026-08-02T12:15:35+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.021499042020877823,728747,29,2026-08-02T12:16:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.01245220800046809,1025999,29,2026-08-02T12:16:05+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27789,27907,80,80,4,4,1.0,True,accepted,0.011208333016838878,46544,29,2026-08-02T12:16:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07714170799590647,2012576,29,2026-08-02T12:16:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.019874874997185543,728747,30,2026-08-02T12:16:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.01184470800217241,1026271,30,2026-08-02T12:16:35+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27789,27907,80,80,4,4,1.0,True,accepted,0.010887832992011681,46638,30,2026-08-02T12:16:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.0784515000123065,2012576,30,2026-08-02T12:16:35+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.01985737498034723,728747,31,2026-08-02T12:17:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011954041983699426,1025999,31,2026-08-02T12:17:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010730667010648176,46497,31,2026-08-02T12:17:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.0846760009881109,2012576,31,2026-08-02T12:17:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.019922583975130692,728747,32,2026-08-02T12:17:35+00:00
prometheus,stress,581222,581222,controlled-amplification,0.0,200,581222,61077,61207,2500,250,1,1,1.0,True,accepted,0.01134433300467208,1025999,32,2026-08-02T12:17:35+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.011619375000009313,46779,32,2026-08-02T12:17:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07456199999433011,2013792,32,2026-08-02T12:17:35+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.019921582977985963,728747,33,2026-08-02T12:18:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.01163408299908042,1025999,33,2026-08-02T12:18:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010538416012423113,46967,33,2026-08-02T12:18:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07520741698681377,2012576,33,2026-08-02T12:18:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.019746000005397946,728747,34,2026-08-02T12:18:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.01175429200520739,1025999,34,2026-08-02T12:18:35+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.010590458987280726,46873,34,2026-08-02T12:18:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.08452837500954047,2012576,34,2026-08-02T12:18:35+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.020252542017260566,728747,35,2026-08-02T12:19:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011830125004053116,1025999,35,2026-08-02T12:19:05+00:00
loki,stress,19648,19648,controlled-amplification,0.0,200,19648,27789,27907,80,80,4,4,1.0,True,accepted,0.011011333990609273,46497,35,2026-08-02T12:19:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.0752604579902254,2012576,35,2026-08-02T12:19:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.020655833010096103,728747,36,2026-08-02T12:19:35+00:00
prometheus,stress,581222,581222,controlled-amplification,0.0,200,581222,61077,61207,2500,250,1,1,1.0,True,accepted,0.012350874982075766,1025999,36,2026-08-02T12:19:35+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27789,27907,80,80,4,4,1.0,True,accepted,0.010994209005730227,46544,36,2026-08-02T12:19:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.08082458301214501,2012576,36,2026-08-02T12:19:35+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.019383667007787153,728747,37,2026-08-02T12:20:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011748500022804365,1025999,37,2026-08-02T12:20:05+00:00
loki,stress,19650,19650,controlled-amplification,0.0,200,19650,27789,27907,80,80,4,4,1.0,True,accepted,0.01071929099271074,46732,37,2026-08-02T12:20:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07509137500892393,2012576,37,2026-08-02T12:20:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.019778082991251722,728747,38,2026-08-02T12:20:35+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011816292011644691,1025999,38,2026-08-02T12:20:35+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27789,27907,80,80,4,4,1.0,True,accepted,0.012586166005348787,46497,38,2026-08-02T12:20:35+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07460295801865868,2012576,38,2026-08-02T12:20:35+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.019444249977823347,728747,39,2026-08-02T12:21:05+00:00
prometheus,stress,583722,583722,controlled-amplification,0.0,200,583722,61328,61458,2500,250,1,1,1.0,True,accepted,0.011720708018401638,1026215,39,2026-08-02T12:21:05+00:00
loki,stress,19649,19649,controlled-amplification,0.0,200,19649,27789,27907,80,80,4,4,1.0,True,accepted,0.010609124990878627,46497,39,2026-08-02T12:21:05+00:00
tempo,stress,319582,319582,controlled-amplification,0.0,200,319582,330761,330881,500,500,1,1,1.0,True,accepted,0.07391766700311564,2012576,39,2026-08-02T12:21:05+00:00
kubernetes,stress,593630,593630,controlled-amplification,0.0,200,593630,241410,241540,180,201,2,2,1.0,True,accepted,0.019804999988991767,728747,40,2026-08-02T12:21:35+00:00
